Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Granite Ledge township, Benton County, Minnesota",718,701,0,8,11,0,2,718,13,705,714,4
"Langola township, Benton County, Minnesota",1070,1051,1,10,52,0,0,1070,64,1006,1027,43
"Mayhew Lake township, Benton County, Minnesota",826,820,0,2,13,0,0,826,0,826,817,9
"Maywood township, Benton County, Minnesota",925,916,6,32,9,0,0,925,21,904,893,32
"Minden township, Benton County, Minnesota",1701,1686,0,15,0,0,0,1701,15,1686,1701,0
"Rice city, Benton County, Minnesota",1575,1557,43,5,10,0,0,1575,15,1560,1535,40
"Royalton city, Benton County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"St. Cloud city, Benton County, Minnesota",6476,5353,1097,183,68,0,14,6476,186,6290,6237,239
"St. George township, Benton County, Minnesota",1201,1196,5,0,0,0,0,1201,5,1196,1201,0
"Sartell city, Benton County, Minnesota",2093,2032,67,0,0,0,0,2093,58,2035,2087,6
"Sauk Rapids city, Benton County, Minnesota",13354,13018,241,77,350,0,13,13354,344,13010,13009,345
"Sauk Rapids township, Benton County, Minnesota",544,525,2,2,15,0,0,544,6,538,544,0
"Watab township, Benton County, Minnesota",3134,3116,11,21,69,0,0,3134,21,3113,3059,75
"Akron township, Big Stone County, Minnesota",181,181,0,0,0,0,0,181,0,181,181,0
"Almond township, Big Stone County, Minnesota",138,138,0,0,0,0,0,138,0,138,138,0
"Artichoke township, Big Stone County, Minnesota",53,53,0,0,0,0,0,53,0,53,53,0
"Barry city, Big Stone County, Minnesota",4,4,0,0,0,0,0,4,0,4,4,0
"Beardsley city, Big Stone County, Minnesota",204,203,0,0,0,0,1,204,5,199,204,0
"Big Stone township, Big Stone County, Minnesota",298,298,0,11,0,0,0,298,3,295,287,11
"Browns Valley township, Big Stone County, Minnesota",60,60,0,0,0,0,0,60,0,60,60,0
"Clinton city, Big Stone County, Minnesota",349,349,0,0,0,0,0,349,0,349,349,0
"Correll city, Big Stone County, Minnesota",44,44,0,0,0,0,0,44,0,44,44,0
"Foster township, Big Stone County, Minnesota",133,133,0,0,0,0,0,133,0,133,133,0
"Graceville city, Big Stone County, Minnesota",655,649,6,0,0,0,0,655,0,655,655,0
"Graceville township, Big Stone County, Minnesota",164,164,0,0,0,0,0,164,0,164,164,0
"Johnson city, Big Stone County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Malta township, Big Stone County, Minnesota",108,108,0,0,0,0,0,108,0,108,108,0
"Moonshine township, Big Stone County, Minnesota",144,144,0,0,0,0,0,144,5,139,144,0
"Odessa city, Big Stone County, Minnesota",130,130,0,0,0,0,0,130,0,130,130,0
"Odessa township, Big Stone County, Minnesota",149,149,0,0,0,0,0,149,0,149,149,0
