Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Colvin township, St. Louis County, Minnesota",333,332,0,3,0,0,0,333,0,333,331,2
"Cook city, St. Louis County, Minnesota",538,530,0,15,0,3,6,538,0,538,522,16
"Cotton township, St. Louis County, Minnesota",537,530,2,23,0,0,2,537,8,529,517,20
"Crane Lake township, St. Louis County, Minnesota",76,76,0,0,0,0,0,76,0,76,76,0
"Culver township, St. Louis County, Minnesota",312,300,0,16,0,0,0,312,0,312,308,4
"Duluth city, St. Louis County, Minnesota",86066,80143,3465,3086,2055,115,402,86066,1972,84094,83112,2954
"Duluth township, St. Louis County, Minnesota",1886,1867,25,16,6,0,0,1886,27,1859,1858,28
"Eagles Nest township, St. Louis County, Minnesota",254,251,2,2,8,0,0,254,2,252,245,9
"Ellsburg township, St. Louis County, Minnesota",180,180,0,0,0,0,0,180,0,180,180,0
"Elmer township, St. Louis County, Minnesota",121,121,0,0,0,0,0,121,0,121,121,0
"Ely city, St. Louis County, Minnesota",3425,3382,34,15,15,0,0,3425,18,3407,3404,21
"Embarrass township, St. Louis County, Minnesota",544,537,1,7,7,0,0,544,0,544,536,8
"Eveleth city, St. Louis County, Minnesota",3649,3602,26,109,14,0,16,3649,16,3633,3549,100
"Fairbanks township, St. Louis County, Minnesota",53,53,0,1,0,0,0,53,0,53,52,1
"Fayal township, St. Louis County, Minnesota",1774,1755,7,20,7,0,0,1774,4,1770,1759,15
"Field township, St. Louis County, Minnesota",404,387,1,16,0,0,0,404,14,390,404,0
"Fine Lakes township, St. Louis County, Minnesota",118,118,0,1,0,0,0,118,0,118,117,1
"Floodwood city, St. Louis County, Minnesota",471,468,5,3,0,0,2,471,2,469,464,7
"Floodwood township, St. Louis County, Minnesota",335,335,5,4,0,0,0,335,0,335,326,9
"Fredenberg township, St. Louis County, Minnesota",1493,1456,12,3,27,0,13,1493,9,1484,1475,18
"French township, St. Louis County, Minnesota",526,521,0,0,12,0,0,526,0,526,519,7
"Gheen UT, St. Louis County, Minnesota",19,19,0,0,0,0,0,19,0,19,19,0
"Gilbert city, St. Louis County, Minnesota",1750,1704,43,1,4,1,0,1750,0,1750,1748,2
"Gnesen township, St. Louis County, Minnesota",1789,1706,33,7,41,4,25,1789,0,1789,1762,27
"Grand Lake township, St. Louis County, Minnesota",2797,2737,27,113,12,0,0,2797,60,2737,2705,92
"Great Scott township, St. Louis County, Minnesota",372,360,5,6,6,0,1,372,10,362,366,6
"Greenwood township, St. Louis County, Minnesota",966,774,3,279,6,0,0,966,12,954,870,96
"Halden township, St. Louis County, Minnesota",132,130,0,2,0,0,0,132,0,132,132,0
"Hay Lake UT, St. Louis County, Minnesota",80,80,0,0,0,0,0,80,0,80,80,0
"Hermantown city, St. Louis County, Minnesota",9603,8961,456,150,13,0,91,9603,193,9410,9535,68
"Hibbing city, St. Louis County, Minnesota",16183,15532,331,220,343,14,128,16183,232,15951,15798,385
"Hoyt Lakes city, St. Louis County, Minnesota",2086,2086,0,28,5,0,0,2086,0,2086,2053,33
"Industrial township, St. Louis County, Minnesota",797,780,12,13,0,6,3,797,20,777,782,15
"Iron Junction city, St. Louis County, Minnesota",111,108,0,0,5,0,0,111,0,111,109,2
"Janette Lake UT, St. Louis County, Minnesota",211,211,0,0,0,0,0,211,0,211,211,0
"Kabetogama township, St. Louis County, Minnesota",128,128,0,2,0,0,0,128,0,128,126,2
"Kelsey township, St. Louis County, Minnesota",143,129,0,8,4,0,6,143,0,143,139,4
"Kinney city, St. Louis County, Minnesota",155,155,0,19,0,0,0,155,2,153,136,19
"Kugler township, St. Louis County, Minnesota",160,131,0,29,0,0,0,160,3,157,160,0
"Lakewood township, St. Louis County, Minnesota",2294,2262,0,23,14,0,13,2294,59,2235,2276,18
"Lavell township, St. Louis County, Minnesota",306,302,0,1,0,0,4,306,0,306,305,1
"Leiding township, St. Louis County, Minnesota",420,353,6,91,0,0,0,420,0,420,394,26
"Leonidas city, St. Louis County, Minnesota",41,41,0,0,0,0,0,41,0,41,41,0
"Linden Grove township, St. Louis County, Minnesota",140,139,0,1,0,0,0,140,0,140,140,0
"McCormack UT, St. Louis County, Minnesota",119,119,0,0,0,0,0,119,0,119,119,0
"McDavitt township, St. Louis County, Minnesota",442,429,1,15,0,0,0,442,10,432,439,3
"McKinley city, St. Louis County, Minnesota",210,208,0,3,2,0,0,210,0,210,207,3
"Makinen UT, St. Louis County, Minnesota",1392,1382,0,32,0,10,0,1392,0,1392,1360,32
"Meadowlands city, St. Louis County, Minnesota",120,103,10,7,2,0,0,120,0,120,118,2
"Meadowlands township, St. Louis County, Minnesota",296,296,9,0,0,0,0,296,0,296,287,9
"Midway township, St. Louis County, Minnesota",1483,1452,0,45,7,0,0,1483,0,1483,1462,21
"Morcom township, St. Louis County, Minnesota",51,51,0,2,0,0,0,51,0,51,49,2
"Morse township, St. Louis County, Minnesota",1272,1263,3,8,11,0,0,1272,8,1264,1259,13
"Mountain Iron city, St. Louis County, Minnesota",2875,2830,25,49,14,0,0,2875,7,2868,2832,43
"Ness township, St. Louis County, Minnesota",67,65,0,2,0,0,0,67,1,66,67,0
"Nett Lake UT, St. Louis County, Minnesota",333,125,12,306,0,0,4,333,8,325,224,109
"New Independence township, St. Louis County, Minnesota",296,293,0,12,0,0,0,296,0,296,287,9
"Normanna township, St. Louis County, Minnesota",802,762,15,23,12,0,0,802,6,796,792,10
"Northeast St. Louis UT, St. Louis County, Minnesota",224,224,0,0,0,0,0,224,0,224,224,0
"Northland township, St. Louis County, Minnesota",251,215,0,34,3,0,0,251,0,251,250,1
"North Star township, St. Louis County, Minnesota",226,217,2,7,4,2,0,226,4,222,220,6
"Northwest St. Louis UT, St. Louis County, Minnesota",410,410,0,43,0,0,0,410,0,410,367,43
"Orr city, St. Louis County, Minnesota",276,229,0,68,0,0,0,276,10,266,255,21
"Owens township, St. Louis County, Minnesota",232,227,2,4,0,0,0,232,1,231,231,1
"Pequaywan township, St. Louis County, Minnesota",149,147,0,0,4,0,0,149,0,149,147,2
"Pike township, St. Louis County, Minnesota",420,413,19,26,0,0,0,420,0,420,401,19
"Portage township, St. Louis County, Minnesota",175,175,6,24,0,0,0,175,0,175,145,30
"Potshot Lake UT, St. Louis County, Minnesota",44,44,0,0,0,0,0,44,0,44,44,0
"Prairie Lake township, St. Louis County, Minnesota",35,35,0,0,0,0,0,35,0,35,35,0
"Proctor city, St. Louis County, Minnesota",3045,2946,9,7,83,13,0,3045,97,2948,3032,13
"Rice Lake city, St. Louis County, Minnesota",4139,4073,12,92,42,0,11,4139,11,4128,4048,91
"Sand Lake UT, St. Louis County, Minnesota",907,889,2,0,16,0,0,907,0,907,907,0
"Sandy township, St. Louis County, Minnesota",398,398,0,0,0,0,0,398,2,396,398,0
"Solway township, St. Louis County, Minnesota",1902,1872,0,46,0,0,0,1902,10,1892,1886,16
"Stoney Brook township, St. Louis County, Minnesota",316,231,2,93,7,0,0,316,4,312,299,17
"Sturgeon township, St. Louis County, Minnesota",135,132,0,0,5,0,0,135,0,135,133,2
"Toivola township, St. Louis County, Minnesota",199,190,0,2,9,0,0,199,0,199,197,2
"Tower city, St. Louis County, Minnesota",675,658,20,255,0,0,0,675,5,670,422,253
"Van Buren township, St. Louis County, Minnesota",148,148,0,0,0,0,0,148,0,148,148,0
"Vermilion Lake township, St. Louis County, Minnesota",281,281,0,0,0,0,0,281,3,278,281,0
"Virginia city, St. Louis County, Minnesota",8570,7952,153,627,86,0,23,8570,85,8485,8299,271
"Waasa township, St. Louis County, Minnesota",261,261,4,0,0,0,0,261,0,261,257,4
"White township, St. Louis County, Minnesota",3209,3110,9,30,81,0,0,3209,1,3208,3188,21
"Whiteface Reservoir UT, St. Louis County, Minnesota",416,416,0,0,0,0,0,416,0,416,416,0
"Willow Valley township, St. Louis County, Minnesota",114,102,0,14,0,0,2,114,0,114,110,4
"Winton city, St. Louis County, Minnesota",131,131,0,0,0,0,0,131,0,131,131,0
"Wuori township, St. Louis County, Minnesota",598,590,5,11,0,0,0,598,2,596,590,8
"Belle Plaine city, Scott County, Minnesota",6935,6489,93,61,100,0,218,6935,393,6542,6909,26
"Belle Plaine township, Scott County, Minnesota",1013,1008,2,0,2,2,0,1013,24,989,1012,1
"Blakeley township, Scott County, Minnesota",399,394,0,1,6,0,0,399,0,399,397,2
"Cedar Lake township, Scott County, Minnesota",2944,2913,19,12,107,0,0,2944,16,2928,2849,95
"Credit River township, Scott County, Minnesota",5458,5172,1,100,183,0,29,5458,102,5356,5431,27
"Elko New Market city, Scott County, Minnesota",4556,4457,20,12,115,0,0,4556,21,4535,4508,48
"Helena township, Scott County, Minnesota",1735,1726,6,9,4,0,0,1735,17,1718,1725,10
"Jackson township, Scott County, Minnesota",1691,1231,6,61,41,0,403,1691,654,1037,1640,51
"Jordan city, Scott County, Minnesota",6079,5417,105,0,45,107,405,6079,553,5526,6079,0
"Louisville township, Scott County, Minnesota",1263,1143,0,3,86,0,34,1263,55,1208,1260,3
"New Market township, Scott County, Minnesota",3633,3550,13,19,46,31,31,3633,7,3626,3586,47
"New Prague city, Scott County, Minnesota",4507,4334,0,98,77,0,45,4507,191,4316,4460,47
"Prior Lake city, Scott County, Minnesota",25452,23105,559,678,1606,35,396,25452,693,24759,24580,872
"St. Lawrence township, Scott County, Minnesota",470,470,0,8,0,0,0,470,6,464,462,8
"Sand Creek township, Scott County, Minnesota",1585,1561,3,16,34,0,4,1585,70,1515,1552,33
"Savage city, Scott County, Minnesota",30011,24964,2371,231,2821,44,481,30011,941,29070,29126,885
"Shakopee city, Scott County, Minnesota",40024,31433,3365,679,4550,79,1739,40024,3112,36912,38281,1743
"Spring Lake township, Scott County, Minnesota",3708,3655,0,14,60,0,0,3708,96,3612,3687,21
"Baldwin township, Sherburne County, Minnesota",6962,6920,14,78,12,0,0,6962,7,6955,6900,62
"Becker city, Sherburne County, Minnesota",4734,4472,34,183,137,0,0,4734,25,4709,4642,92
"Becker township, Sherburne County, Minnesota",5184,5034,178,59,18,0,0,5184,0,5184,5079,105
"Big Lake city, Sherburne County, Minnesota",10516,9659,498,164,22,0,422,10516,839,9677,10267,249
"Big Lake township, Sherburne County, Minnesota",7621,7524,5,39,170,0,0,7621,44,7577,7504,117
"Blue Hill township, Sherburne County, Minnesota",2086,2040,26,3,27,0,31,2086,36,2050,2045,41
"Clear Lake city, Sherburne County, Minnesota",594,572,16,19,2,8,2,594,5,589,569,25
"Clear Lake township, Sherburne County, Minnesota",1743,1709,20,3,17,12,0,1743,12,1731,1725,18
"Elk River city, Sherburne County, Minnesota",23924,22460,737,395,612,29,371,23924,443,23481,23389,535
"Haven township, Sherburne County, Minnesota",1863,1821,12,7,5,0,25,1863,25,1838,1856,7
"Livonia township, Sherburne County, Minnesota",6148,6061,289,32,173,32,0,6148,186,5962,5793,355
"Orrock township, Sherburne County, Minnesota",3563,3403,67,39,74,0,55,3563,125,3438,3488,75
"Palmer township, Sherburne County, Minnesota",2504,2457,26,0,13,0,8,2504,28,2476,2504,0
"Princeton city, Sherburne County, Minnesota",145,145,0,0,0,0,0,145,0,145,145,0
"St. Cloud city, Sherburne County, Minnesota",6991,5701,990,94,232,0,24,6991,349,6642,6941,50
"Santiago township, Sherburne County, Minnesota",2026,2003,26,11,12,4,8,2026,8,2018,1994,32
"Zimmerman city, Sherburne County, Minnesota",5420,5376,35,18,129,0,0,5420,165,5255,5300,120
"Alfsborg township, Sibley County, Minnesota",252,250,0,0,2,0,0,252,0,252,252,0
"Arlington city, Sibley County, Minnesota",2179,2148,20,18,20,0,15,2179,539,1640,2137,42
"Arlington township, Sibley County, Minnesota",528,520,3,3,10,0,0,528,0,528,520,8
"Bismarck township, Sibley County, Minnesota",312,298,0,0,14,0,0,312,0,312,312,0
"Cornish township, Sibley County, Minnesota",197,187,0,6,0,0,4,197,4,193,197,0
"Dryden township, Sibley County, Minnesota",349,347,0,3,0,2,0,349,23,326,346,3
"Faxon township, Sibley County, Minnesota",629,625,0,0,0,0,4,629,11,618,629,0
"Gaylord city, Sibley County, Minnesota",2015,1857,28,8,56,0,66,2015,376,1639,2015,0
"Gibbon city, Sibley County, Minnesota",857,831,50,0,0,0,0,857,83,774,833,24
"Grafton township, Sibley County, Minnesota",237,237,0,0,0,0,0,237,8,229,237,0
"Green Isle city, Sibley County, Minnesota",615,606,12,3,0,2,8,615,56,559,602,13
"Green Isle township, Sibley County, Minnesota",513,494,19,7,0,0,0,513,31,482,506,7
"Henderson city, Sibley County, Minnesota",848,834,14,4,0,2,9,848,15,833,833,15
"Henderson township, Sibley County, Minnesota",750,749,0,0,5,0,0,750,0,750,746,4
"Jessenland township, Sibley County, Minnesota",441,440,1,0,0,0,0,441,18,423,441,0
"Kelso township, Sibley County, Minnesota",244,238,2,5,3,0,0,244,7,237,240,4
"Le Sueur city, Sibley County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Moltke township, Sibley County, Minnesota",310,310,0,0,0,0,2,310,0,310,308,2
"New Auburn city, Sibley County, Minnesota",525,525,0,0,0,0,0,525,12,513,525,0
"New Auburn township, Sibley County, Minnesota",481,480,0,0,1,0,0,481,0,481,481,0
"Severance township, Sibley County, Minnesota",309,309,0,15,0,0,0,309,5,304,294,15
"Sibley township, Sibley County, Minnesota",279,275,0,0,0,0,4,279,0,279,279,0
"Transit township, Sibley County, Minnesota",273,273,0,0,0,0,0,273,0,273,273,0
"Washington Lake township, Sibley County, Minnesota",426,425,0,0,4,0,0,426,0,426,423,3
"Winthrop city, Sibley County, Minnesota",1319,1305,2,7,5,0,0,1319,88,1231,1319,0
"Albany city, Stearns County, Minnesota",2674,2579,94,27,19,0,3,2674,50,2624,2626,48
"Albany township, Stearns County, Minnesota",1058,1050,0,0,40,0,0,1058,0,1058,1026,32
"Ashley township, Stearns County, Minnesota",254,253,0,1,0,0,0,254,3,251,254,0
"Avon city, Stearns County, Minnesota",1707,1707,0,0,0,0,0,1707,19,1688,1707,0
"Avon township, Stearns County, Minnesota",2262,2237,10,0,24,9,0,2262,10,2252,2244,18
"Belgrade city, Stearns County, Minnesota",899,883,0,1,11,0,5,899,7,892,898,1
"Brockway township, Stearns County, Minnesota",2815,2774,0,4,71,0,0,2815,19,2796,2781,34
"Brooten city, Stearns County, Minnesota",570,546,24,4,0,0,3,570,31,539,565,5
"Clearwater city, Stearns County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Cold Spring city, Stearns County, Minnesota",4067,4023,0,0,19,0,85,4067,205,3862,4007,60
"Collegeville township, Stearns County, Minnesota",3449,3155,136,36,140,6,49,3449,137,3312,3384,65
"Crow Lake township, Stearns County, Minnesota",360,360,0,5,0,0,0,360,0,360,355,5
"Crow River township, Stearns County, Minnesota",325,325,0,0,0,0,0,325,3,322,325,0
"Eden Lake township, Stearns County, Minnesota",1470,1440,14,15,3,2,2,1470,2,1468,1464,6
"Eden Valley city, Stearns County, Minnesota",482,465,12,5,0,0,0,482,5,477,482,0
"Elrosa city, Stearns County, Minnesota",166,164,2,1,0,0,0,166,0,166,165,1
"Fair Haven township, Stearns County, Minnesota",1634,1634,18,1,0,0,0,1634,0,1634,1615,19
"Farming township, Stearns County, Minnesota",934,934,0,4,0,0,0,934,0,934,930,4
"Freeport city, Stearns County, Minnesota",783,728,0,0,0,0,55,783,57,726,783,0
"Getty township, Stearns County, Minnesota",387,387,0,0,0,0,0,387,31,356,387,0
"Greenwald city, Stearns County, Minnesota",232,232,0,0,0,0,0,232,0,232,232,0
"Grove township, Stearns County, Minnesota",556,542,0,0,9,0,5,556,5,551,556,0
"Holding township, Stearns County, Minnesota",1345,1345,0,0,0,0,0,1345,2,1343,1345,0
"Holdingford city, Stearns County, Minnesota",597,595,0,0,2,0,0,597,7,590,597,0
"Kimball city, Stearns County, Minnesota",882,813,2,0,73,53,0,882,9,873,823,59
"Krain township, Stearns County, Minnesota",921,915,0,0,0,0,10,921,12,909,917,4
"Lake George township, Stearns County, Minnesota",239,239,0,0,0,0,0,239,0,239,239,0
"Lake Henry city, Stearns County, Minnesota",63,63,0,0,0,0,0,63,0,63,63,0
"Lake Henry township, Stearns County, Minnesota",269,266,0,0,3,0,0,269,2,267,269,0
"Le Sauk township, Stearns County, Minnesota",1711,1672,28,0,28,4,5,1711,13,1698,1693,18
"Luxemburg township, Stearns County, Minnesota",659,655,4,0,0,0,8,659,15,644,651,8
"Lynden township, Stearns County, Minnesota",1852,1808,8,18,16,0,19,1852,18,1834,1835,17
"Maine Prairie township, Stearns County, Minnesota",1841,1834,7,0,0,0,9,1841,17,1824,1832,9
"Meire Grove city, Stearns County, Minnesota",192,192,0,0,0,0,0,192,0,192,192,0
"Melrose city, Stearns County, Minnesota",3619,3415,39,0,0,0,190,3619,638,2981,3594,25
"Melrose township, Stearns County, Minnesota",763,763,0,0,0,0,0,763,0,763,763,0
"Millwood township, Stearns County, Minnesota",1015,1015,0,0,2,0,0,1015,1,1014,1013,2
"Munson township, Stearns County, Minnesota",1638,1633,7,7,23,9,0,1638,2,1636,1618,20
"New Munich city, Stearns County, Minnesota",348,348,0,0,0,0,0,348,0,348,348,0
"North Fork township, Stearns County, Minnesota",310,310,0,0,0,0,0,310,1,309,310,0
"Oak township, Stearns County, Minnesota",665,665,0,3,0,0,0,665,8,657,662,3
"Paynesville city, Stearns County, Minnesota",2717,2586,0,9,30,7,89,2717,208,2509,2713,4
"Paynesville township, Stearns County, Minnesota",1319,1309,1,1,19,0,5,1319,5,1314,1303,16
"Raymond township, Stearns County, Minnesota",225,225,0,0,0,0,0,225,0,225,225,0
"Richmond city, Stearns County, Minnesota",1585,1581,8,1,4,0,0,1585,42,1543,1576,9
"Rockville city, Stearns County, Minnesota",2513,2239,24,0,0,0,250,2513,314,2199,2513,0
"Roscoe city, Stearns County, Minnesota",106,103,0,0,0,0,4,106,4,102,105,1
"St. Anthony city, Stearns County, Minnesota",117,117,0,0,0,0,0,117,0,117,117,0
"St. Augusta city, Stearns County, Minnesota",3613,3561,10,5,45,0,0,3613,4,3609,3605,8
"St. Cloud city, Stearns County, Minnesota",53626,44585,6775,748,2314,165,659,53626,1525,52101,52222,1404
"St. Joseph city, Stearns County, Minnesota",6862,6519,188,70,156,5,28,6862,88,6774,6762,100
"St. Joseph township, Stearns County, Minnesota",1360,1357,8,4,3,14,0,1360,5,1355,1334,26
"St. Martin city, Stearns County, Minnesota",341,324,1,0,0,0,17,341,17,324,340,1
"St. Martin township, Stearns County, Minnesota",525,525,0,0,0,0,0,525,0,525,525,0
"St. Rosa city, Stearns County, Minnesota",70,70,0,0,0,0,0,70,0,70,70,0
"St. Stephen city, Stearns County, Minnesota",936,890,5,0,14,0,29,936,41,895,934,2
"St. Wendel township, Stearns County, Minnesota",2233,2214,6,0,25,0,12,2233,19,2214,2209,24
"Sartell city, Stearns County, Minnesota",14656,13618,269,27,809,0,132,14656,265,14391,14478,178
"Sauk Centre city, Stearns County, Minnesota",4350,4136,51,0,40,0,154,4350,306,4044,4319,31
"Sauk Centre township, Stearns County, Minnesota",1102,1102,0,0,0,0,0,1102,0,1102,1102,0
"Spring Hill city, Stearns County, Minnesota",65,65,0,0,0,0,0,65,0,65,65,0
"Spring Hill township, Stearns County, Minnesota",350,350,0,0,0,0,0,350,0,350,350,0
"Waite Park city, Stearns County, Minnesota",7457,5586,1252,11,302,44,492,7457,767,6690,7237,220
"Wakefield township, Stearns County, Minnesota",2870,2870,0,7,0,0,10,2870,10,2860,2853,17
"Zion township, Stearns County, Minnesota",289,289,0,0,0,0,0,289,2,287,289,0
"Aurora township, Steele County, Minnesota",486,486,2,0,1,0,0,486,0,486,483,3
"Berlin township, Steele County, Minnesota",461,461,0,0,2,0,0,461,0,461,459,2
"Blooming Prairie city, Steele County, Minnesota",1949,1913,5,4,0,0,31,1949,131,1818,1945,4
"Blooming Prairie township, Steele County, Minnesota",408,408,0,0,0,0,0,408,7,401,408,0
"Clinton Falls township, Steele County, Minnesota",406,405,4,0,1,0,0,406,0,406,402,4
"Deerfield township, Steele County, Minnesota",519,514,0,3,1,0,1,519,13,506,519,0
"Ellendale city, Steele County, Minnesota",778,745,23,0,12,0,0,778,0,778,776,2
"Havana township, Steele County, Minnesota",710,582,0,0,33,0,95,710,98,612,710,0
"Lemond township, Steele County, Minnesota",475,458,0,0,5,0,13,475,19,456,474,1
"Medford city, Steele County, Minnesota",1309,1184,20,0,19,4,106,1309,142,1167,1292,17
"Medford township, Steele County, Minnesota",746,641,6,0,5,0,94,746,222,524,746,0
"Meriden township, Steele County, Minnesota",613,608,5,0,0,0,0,613,0,613,613,0
"Merton township, Steele County, Minnesota",391,386,0,2,0,0,3,391,3,388,391,0
"Owatonna city, Steele County, Minnesota",25613,23145,1284,169,461,27,899,25613,2031,23582,25241,372
"Owatonna township, Steele County, Minnesota",542,524,0,0,4,0,14,542,56,486,542,0
"Somerset township, Steele County, Minnesota",803,791,6,0,4,0,2,803,11,792,803,0
"Summit township, Steele County, Minnesota",403,400,1,0,0,3,0,403,0,403,402,1
"Alberta city, Stevens County, Minnesota",157,157,0,0,0,0,0,157,0,157,157,0
"Baker township, Stevens County, Minnesota",104,104,0,0,0,0,0,104,10,94,104,0
"Chokio city, Stevens County, Minnesota",428,410,0,0,18,0,0,428,0,428,428,0
"Darnen township, Stevens County, Minnesota",251,251,0,0,0,0,0,251,36,215,251,0
"Donnelly city, Stevens County, Minnesota",271,271,0,0,0,0,0,271,29,242,271,0
"Donnelly township, Stevens County, Minnesota",55,55,0,0,0,0,0,55,2,53,55,0
"Eldorado township, Stevens County, Minnesota",46,46,0,0,0,0,0,46,0,46,46,0
"Everglade township, Stevens County, Minnesota",124,124,0,0,0,0,0,124,0,124,124,0
"Framnas township, Stevens County, Minnesota",354,354,0,0,0,0,0,354,0,354,354,0
"Hancock city, Stevens County, Minnesota",816,775,0,15,56,0,21,816,37,779,765,51
"Hodges township, Stevens County, Minnesota",294,294,0,0,0,0,0,294,74,220,294,0
"Horton township, Stevens County, Minnesota",148,148,0,0,0,0,0,148,0,148,148,0
"Moore township, Stevens County, Minnesota",235,235,0,0,0,0,0,235,105,130,235,0
"Morris city, Stevens County, Minnesota",5326,4888,124,203,139,26,7,5326,175,5151,5265,61
"Morris township, Stevens County, Minnesota",432,393,0,39,0,0,0,432,0,432,432,0
"Pepperton township, Stevens County, Minnesota",108,103,0,0,15,0,0,108,0,108,98,10
"Rendsville township, Stevens County, Minnesota",165,165,0,0,0,0,0,165,0,165,165,0
"Scott township, Stevens County, Minnesota",134,134,0,0,0,0,0,134,0,134,134,0
"Stevens township, Stevens County, Minnesota",61,61,0,0,0,0,0,61,0,61,61,0
"Swan Lake township, Stevens County, Minnesota",152,152,0,0,0,0,0,152,0,152,152,0
"Synnes township, Stevens County, Minnesota",98,93,5,0,0,0,0,98,20,78,98,0
"Appleton city, Swift County, Minnesota",1449,1359,34,24,0,9,60,1449,103,1346,1420,29
"Appleton township, Swift County, Minnesota",182,182,0,0,0,0,0,182,1,181,182,0
"Benson city, Swift County, Minnesota",3113,2881,188,1,24,0,19,3113,86,3027,3113,0
"Benson township, Swift County, Minnesota",285,281,12,0,0,0,0,285,7,278,277,8
"Camp Lake township, Swift County, Minnesota",136,136,0,0,0,0,0,136,0,136,136,0
"Cashel township, Swift County, Minnesota",159,159,0,0,0,0,0,159,21,138,159,0
"Clontarf city, Swift County, Minnesota",126,126,0,0,0,0,0,126,0,126,126,0
"Clontarf township, Swift County, Minnesota",62,62,0,0,0,0,0,62,1,61,62,0
"Danvers city, Swift County, Minnesota",139,139,0,0,0,0,0,139,0,139,139,0
"De Graff city, Swift County, Minnesota",159,159,0,0,0,0,0,159,0,159,159,0
"Dublin township, Swift County, Minnesota",150,150,0,2,0,0,0,150,0,150,148,2
"Edison township, Swift County, Minnesota",88,88,0,0,0,0,0,88,0,88,88,0
"Fairfield township, Swift County, Minnesota",105,103,0,0,0,0,2,105,2,103,105,0
"Hayes township, Swift County, Minnesota",197,197,0,0,0,0,0,197,2,195,197,0
"Hegbert township, Swift County, Minnesota",110,110,0,0,0,0,2,110,2,108,108,2
"Holloway city, Swift County, Minnesota",110,110,0,0,0,0,0,110,0,110,110,0
"Kerkhoven city, Swift County, Minnesota",691,642,0,0,0,0,49,691,139,552,691,0
"Kerkhoven township, Swift County, Minnesota",228,228,0,0,0,0,0,228,0,228,228,0
"Kildare township, Swift County, Minnesota",119,119,0,0,0,0,0,119,0,119,119,0
"Marysland township, Swift County, Minnesota",111,111,0,0,0,0,0,111,0,111,111,0
"Moyer township, Swift County, Minnesota",71,71,0,0,0,0,0,71,0,71,71,0
"Murdock city, Swift County, Minnesota",285,266,0,0,0,3,16,285,16,269,285,0
"Pillsbury township, Swift County, Minnesota",282,281,0,0,1,1,0,282,8,274,281,1
"Shible township, Swift County, Minnesota",140,138,0,0,2,0,0,140,0,140,140,0
"Six Mile Grove township, Swift County, Minnesota",160,160,0,0,0,0,0,160,4,156,160,0
"Swenoda township, Swift County, Minnesota",122,122,2,0,0,0,0,122,1,121,120,2
"Tara township, Swift County, Minnesota",101,100,1,0,0,0,0,101,1,100,101,0
"Torning township, Swift County, Minnesota",403,402,0,0,1,0,0,403,0,403,403,0
"West Bank township, Swift County, Minnesota",165,133,0,0,0,2,32,165,34,131,163,2
"Bartlett township, Todd County, Minnesota",504,504,0,0,0,0,0,504,0,504,504,0
"Bertha city, Todd County, Minnesota",641,628,4,20,4,0,3,641,0,641,623,18
"Bertha township, Todd County, Minnesota",380,353,27,0,0,0,0,380,2,378,380,0
"Birchdale township, Todd County, Minnesota",677,677,0,0,0,0,0,677,11,666,677,0
"Browerville city, Todd County, Minnesota",780,701,34,12,58,0,20,780,24,756,740,40
"Bruce township, Todd County, Minnesota",537,528,0,0,9,0,0,537,0,537,537,0
"Burleene township, Todd County, Minnesota",367,358,3,0,6,0,0,367,8,359,367,0
"Burnhamville township, Todd County, Minnesota",678,678,0,0,0,0,0,678,7,671,678,0
"Burtrum city, Todd County, Minnesota",133,133,0,0,2,0,0,133,0,133,131,2
"Clarissa city, Todd County, Minnesota",799,781,23,33,14,0,3,799,19,780,744,55
"Eagle Bend city, Todd County, Minnesota",450,450,0,0,0,0,0,450,4,446,450,0
"Eagle Valley township, Todd County, Minnesota",464,464,15,26,0,2,0,464,2,462,421,43
"Fawn Lake township, Todd County, Minnesota",399,399,4,0,24,0,0,399,0,399,371,28
"Germania township, Todd County, Minnesota",498,498,0,0,0,0,0,498,0,498,498,0
"Gordon township, Todd County, Minnesota",666,666,0,0,0,0,0,666,2,664,666,0
"Grey Eagle city, Todd County, Minnesota",399,379,0,3,16,0,8,399,8,391,392,7
"Grey Eagle township, Todd County, Minnesota",549,549,9,0,0,0,0,549,1,548,540,9
"Hartford township, Todd County, Minnesota",691,691,0,0,0,0,0,691,6,685,691,0
"Hewitt city, Todd County, Minnesota",228,228,3,0,0,0,3,228,3,225,222,6
"Iona township, Todd County, Minnesota",560,558,0,12,0,0,2,560,2,558,548,12
"Kandota township, Todd County, Minnesota",760,744,22,16,0,0,0,760,0,760,744,16
"Leslie township, Todd County, Minnesota",548,530,19,0,4,4,1,548,4,544,538,10
"Little Elk township, Todd County, Minnesota",219,216,0,0,2,0,3,219,3,216,217,2
"Little Sauk township, Todd County, Minnesota",851,851,0,2,0,0,0,851,2,849,849,2
"Long Prairie city, Todd County, Minnesota",3346,3064,37,67,1,0,230,3346,1112,2234,3293,53
"Long Prairie township, Todd County, Minnesota",958,951,0,15,4,0,9,958,11,947,937,21
"Moran township, Todd County, Minnesota",487,478,4,17,0,0,0,487,0,487,475,12
